id,data_size_bytes,security_level,latency_sensitivity,bandwidth_constraint,recommended_kem,recommended_signature
0,626260,5,low,True,ML-KEM-1024,ML-DSA-87
1,579775,1,high,False,ML-KEM-1024,ML-DSA-44
2,261360,3,medium,True,ML-KEM-1024,ML-DSA-87
3,790904,2,medium,False,ML-KEM-1024,ML-DSA-65
4,745302,5,high,True,ML-KEM-1024,ML-DSA-87
5,764088,5,high,True,ML-KEM-1024,ML-DSA-87
6,649780,5,high,False,ML-KEM-1024,ML-DSA-87
7,682961,4,medium,False,ML-KEM-1024,ML-DSA-87
8,687840,5,medium,True,ML-KEM-1024,ML-DSA-87
9,366960,4,high,True,ML-KEM-1024,ML-DSA-87
10,867919,4,medium,False,ML-KEM-1024,ML-DSA-87
11,511981,4,high,True,ML-KEM-1024,ML-DSA-87
12,623024,5,medium,True,ML-KEM-1024,ML-DSA-87
13,704384,2,high,True,ML-KEM-1024,ML-DSA-87
14,804701,2,low,True,ML-KEM-1024,ML-DSA-87
15,788786,2,low,False,ML-KEM-1024,ML-DSA-65
16,40322,4,low,True,ML-KEM-768,ML-DSA-87
17,830127,5,low,False,ML-KEM-1024,ML-DSA-87
18,525768,5,high,False,ML-KEM-1024,ML-DSA-87
19,171349,2,high,True,ML-KEM-1024,ML-DSA-87
20,828436,2,high,False,ML-KEM-1024,ML-DSA-44
21,674790,2,high,False,ML-KEM-1024,ML-DSA-44
22,316384,4,medium,False,ML-KEM-1024,ML-DSA-87
23,453995,3,high,True,ML-KEM-1024,ML-DSA-87
24,982869,4,low,True,ML-KEM-1024,ML-DSA-87
25,353948,2,low,False,ML-KEM-1024,ML-DSA-65
26,161094,5,low,True,ML-KEM-1024,ML-DSA-87
27,543208,3,low,False,ML-KEM-1024,ML-DSA-65
28,403136,2,medium,False,ML-KEM-1024,ML-DSA-65
29,926550,4,high,False,ML-KEM-1024,ML-DSA-87
30,11470,4,low,True,ML-KEM-768,ML-DSA-87
31,707336,1,high,False,ML-KEM-1024,ML-DSA-44
32,698446,5,low,True,ML-KEM-1024,ML-DSA-87
33,653785,3,medium,True,ML-KEM-1024,ML-DSA-87
34,676966,3,high,False,ML-KEM-1024,ML-DSA-44
35,615346,2,medium,True,ML-KEM-1024,ML-DSA-87
36,827440,2,low,True,ML-KEM-1024,ML-DSA-87
37,812509,5,low,False,ML-KEM-1024,ML-DSA-87
38,580951,4,high,True,ML-KEM-1024,ML-DSA-87
39,313470,3,high,True,ML-KEM-1024,ML-DSA-87
40,865673,5,medium,False,ML-KEM-1024,ML-DSA-87
41,28831,5,low,False,ML-KEM-768,ML-DSA-87
42,98952,5,medium,True,ML-KEM-768,ML-DSA-87
43,43329,2,medium,False,ML-KEM-768,ML-DSA-65
44,388742,1,medium,False,ML-KEM-1024,ML-DSA-65
45,465138,1,high,False,ML-KEM-1024,ML-DSA-44
46,429877,4,medium,True,ML-KEM-1024,ML-DSA-87
47,341971,1,medium,True,ML-KEM-1024,ML-DSA-87
48,529274,3,low,True,ML-KEM-1024,ML-DSA-87
49,681722,3,low,False,ML-KEM-1024,ML-DSA-65
50,354622,3,medium,True,ML-KEM-1024,ML-DSA-87
51,61693,5,medium,False,ML-KEM-768,ML-DSA-87
52,129877,1,low,False,ML-KEM-1024,ML-DSA-65
53,185503,3,high,True,ML-KEM-1024,ML-DSA-87
54,699439,2,high,False,ML-KEM-1024,ML-DSA-44
55,5551,4,medium,False,ML-KEM-768,ML-DSA-87
56,320998,5,high,True,ML-KEM-1024,ML-DSA-87
57,322432,2,low,False,ML-KEM-1024,ML-DSA-65
58,148670,5,medium,False,ML-KEM-1024,ML-DSA-87
59,750093,5,medium,True,ML-KEM-1024,ML-DSA-87
60,98181,5,high,True,ML-KEM-768,ML-DSA-87
61,456003,3,medium,False,ML-KEM-1024,ML-DSA-65
62,647485,1,low,False,ML-KEM-1024,ML-DSA-65
63,625494,2,high,False,ML-KEM-1024,ML-DSA-44
64,159224,5,high,True,ML-KEM-1024,ML-DSA-87
65,247927,1,medium,False,ML-KEM-1024,ML-DSA-65
66,301582,3,medium,False,ML-KEM-1024,ML-DSA-65
67,809145,5,low,False,ML-KEM-1024,ML-DSA-87
68,996676,3,medium,True,ML-KEM-1024,ML-DSA-87
69,147423,1,high,True,ML-KEM-1024,ML-DSA-87
70,735316,5,low,False,ML-KEM-1024,ML-DSA-87
71,774224,1,high,True,ML-KEM-1024,ML-DSA-87
72,292616,2,low,False,ML-KEM-1024,ML-DSA-65
73,765531,3,low,False,ML-KEM-1024,ML-DSA-65
74,484051,3,medium,False,ML-KEM-1024,ML-DSA-65
75,144258,1,medium,False,ML-KEM-1024,ML-DSA-65
76,588550,2,low,False,ML-KEM-1024,ML-DSA-65
77,749251,5,medium,False,ML-KEM-1024,ML-DSA-87
78,949310,1,high,True,ML-KEM-1024,ML-DSA-87
79,859218,1,medium,False,ML-KEM-1024,ML-DSA-65
80,376408,4,medium,False,ML-KEM-1024,ML-DSA-87
81,945590,5,high,False,ML-KEM-1024,ML-DSA-87
82,709914,4,medium,False,ML-KEM-1024,ML-DSA-87
83,725451,3,medium,True,ML-KEM-1024,ML-DSA-87
84,633729,1,high,False,ML-KEM-1024,ML-DSA-44
85,657349,1,medium,False,ML-KEM-1024,ML-DSA-65
86,19042,4,high,True,ML-KEM-768,ML-DSA-87
87,830067,5,low,False,ML-KEM-1024,ML-DSA-87
88,252393,1,medium,True,ML-KEM-1024,ML-DSA-87
89,246553,4,low,False,ML-KEM-1024,ML-DSA-87
90,813310,4,high,True,ML-KEM-1024,ML-DSA-87
91,607620,2,medium,True,ML-KEM-1024,ML-DSA-87
92,423303,2,high,False,ML-KEM-1024,ML-DSA-44
93,910341,4,low,False,ML-KEM-1024,ML-DSA-87
94,951364,1,high,False,ML-KEM-1024,ML-DSA-44
95,228405,4,high,False,ML-KEM-1024,ML-DSA-87
96,643520,5,medium,False,ML-KEM-1024,ML-DSA-87
97,422983,2,medium,True,ML-KEM-1024,ML-DSA-87
98,306170,3,high,True,ML-KEM-1024,ML-DSA-87
99,239902,1,low,True,ML-KEM-1024,ML-DSA-87
100,244704,3,high,True,ML-KEM-1024,ML-DSA-87
101,137090,5,medium,False,ML-KEM-1024,ML-DSA-87
102,853455,3,medium,False,ML-KEM-1024,ML-DSA-65
103,949270,4,medium,False,ML-KEM-1024,ML-DSA-87
104,818506,1,medium,False,ML-KEM-1024,ML-DSA-65
105,863310,5,low,False,ML-KEM-1024,ML-DSA-87
106,202628,5,medium,False,ML-KEM-1024,ML-DSA-87
107,17809,3,medium,True,ML-KEM-768,ML-DSA-87
108,550981,5,medium,False,ML-KEM-1024,ML-DSA-87
109,844200,4,low,False,ML-KEM-1024,ML-DSA-87
110,722319,3,medium,True,ML-KEM-1024,ML-DSA-87
111,883806,3,high,False,ML-KEM-1024,ML-DSA-44
112,396583,4,high,True,ML-KEM-1024,ML-DSA-87
113,469755,5,medium,False,ML-KEM-1024,ML-DSA-87
114,448459,5,high,False,ML-KEM-1024,ML-DSA-87
115,528422,2,low,False,ML-KEM-1024,ML-DSA-65
116,949996,2,low,False,ML-KEM-1024,ML-DSA-65
117,686968,5,medium,False,ML-KEM-1024,ML-DSA-87
118,276074,4,low,True,ML-KEM-1024,ML-DSA-87
119,293299,1,high,False,ML-KEM-1024,ML-DSA-44
120,178467,5,medium,True,ML-KEM-1024,ML-DSA-87
121,615799,3,high,True,ML-KEM-1024,ML-DSA-87
122,596971,2,high,False,ML-KEM-1024,ML-DSA-44
123,800708,1,medium,False,ML-KEM-1024,ML-DSA-65
124,256615,5,high,True,ML-KEM-1024,ML-DSA-87
125,549608,4,medium,True,ML-KEM-1024,ML-DSA-87
126,628413,3,high,False,ML-KEM-1024,ML-DSA-44
127,37800,2,low,False,ML-KEM-768,ML-DSA-65
128,45365,2,medium,True,ML-KEM-768,ML-DSA-87
129,615773,2,medium,False,ML-KEM-1024,ML-DSA-65
130,379717,2,low,False,ML-KEM-1024,ML-DSA-65
